date,vendor,amount,category,hide,notes
21.11.2022,Tier,"$1,00",Electric scooters,,
21.11.2022,Narikka,"$3,00",Going out,,
21.11.2022,K-Market Kaleva,"$3,00",Gifts,,
21.11.2022,K-supermarket hämeenkatu,"$4,25",Going out,,
21.11.2022,K-Market Kaleva,"$17,53",Groceries,,
21.11.2022,Prisma Lielahti,"$3,29",Going out,,
21.11.2022,Tier,"$1,57",Electric scooters,,
21.11.2022,Bricks,"$14,00",Going out,,
21.11.2022,Tampereen seutu,"$10,00",Public transportation,,
21.11.2022,Lidl,"$4,24",Going out,,
21.11.2022,School,"$3,20",School food,,
21.11.2022,VR,"$18,00",Public transportation,,
